angle_mode,angle_min,angle_max,scene_count,valid_area_fraction,mean_angle
none,,,289,0.9568648123986462,40.1813931569469
fixed,30.0,45.0,289,0.9568648123986462,40.1813931569469
robust,40.07602680434166,40.247925013601325,289,0.9558469884996054,40.18537013736129
