feature,n,start,end,ols_slope_per_year,ols_hac_se,ols_p_value,ols_r_squared,sen_slope_per_year,sen_ci_low,sen_ci_high,mk_trend,mk_tau,mk_p_value,mk_significant_0_05,modified_mk_trend,modified_mk_p_value,modified_mk_significant_0_05,lag1_autocorrelation,ljung_box_p_value
temp_anomaly,133,2015-07-01,2026-07-01,0.045749376577051686,0.04243176669562365,0.280950340223884,0.012717695320792699,0.06351827187018977,0.0042499604083827865,0.11349893124635538,increasing,0.12371838687628162,0.03482233525104572,True,no trend,0.13366286669398342,False,0.42887386405048394,0.00016791144188938942
precip_anomaly,133,2015-07-01,2026-07-01,0.031039626795717038,0.021377000433211894,0.14649871551524749,0.008052846770316702,0.027874286403407434,-0.025999673575605065,0.08313229073129538,no trend,0.05491000227842333,0.34948618250936936,False,no trend,0.31019406294496066,False,0.08631871049711745,0.8738070417791121
PDD_adjusted,133,2015-07-01,2026-07-01,0.839416085048406,0.37368320190477905,0.024682827290839728,0.04870955235036656,0.3593517634604769,0.05584173537289328,0.9186930117824578,increasing,0.17110959216222374,0.0034758147658486838,True,increasing,0.01385775012551993,True,0.3189755726888834,0.015097583376507085
snow_fraction_anomaly,104,2017-04-01,2026-08-01,-0.014041162497878502,0.008073808826608514,0.08201714052326922,0.06937647648585488,-0.013319219457294564,-0.02384892195018492,-0.004186037925779614,decreasing,-0.18222554144884243,0.00617165632928196,True,no trend,0.0658115174650622,False,0.5548686741630379,3.977432761871476e-08
NDSI_anomaly,104,2017-04-01,2026-08-01,-0.012602349146933325,0.007649318700510334,0.09945272297871438,0.06968013556360841,-0.01297207973015233,-0.02250508722671336,-0.003699850732968399,decreasing,-0.1882001493651979,0.0046781493981364886,True,no trend,0.061119662828676535,False,0.6014928646311654,3.232130262944527e-10
VV_anomaly,116,2015-10-01,2026-08-01,-0.07182089149005262,0.01842955955434931,9.73720358859797e-05,0.19898064492316925,-0.057933826035762866,-0.08117906806012438,-0.035714003440862806,decreasing,-0.31064467766116943,7.749909562981827e-07,True,decreasing,7.059158198430282e-06,True,0.3140175201109362,9.637524186687432e-05
VH_anomaly,116,2015-10-01,2026-08-01,-0.14960409878756345,0.026857660147711283,2.5436225660750966e-08,0.3212222032792813,-0.12993934897995574,-0.1684194773313873,-0.09360150405613991,decreasing,-0.4095952023988006,7.20281612132112e-11,True,decreasing,2.5028600414422897e-07,True,0.4832865925469009,2.2545668356280978e-17
