date,temp_mean_c,temp_max_c,temp_min_c,temp_anomaly_c,precip_month_mm,precip_1d_max_mm,precip_3d_max_mm,precip_7d_max_mm,precip_30d_max_mm,pdd,freeze_thaw_cycles,snowfall_mm_we,snow_depth_m,solar_radiation_mj_m2,runoff_mm,observation_count,expected_observation_count,valid_area_fraction,period_completeness,is_complete_period,quality_status,quality_reason,expected_days,missing_data_flag,month,precip_anomaly_z,pdd_anomaly_z
1984-01-01,-11.517365279807496,-0.7331102536313329,-19.69076464959719,-1.7575543490322787,45.19026842242098,22.274863610284225,29.55919717274251,34.212147678727014,45.10252671934899,0.0,0,42.889816828077315,3.1208992049136466,519.4917952653061,14.213129099429619,31,31,,1.0,True,GOOD,coverage and completeness requirements passed,31,False,1,-0.1611442702415229,-0.20695424178800786
1984-02-01,-9.527279006962429,-2.1177136050069043,-19.589450708935562,-0.26065942808709763,36.98356046484337,9.357528528483419,17.179129685216314,19.591762002948624,56.7406893184332,0.0,0,35.02916760171156,3.280239187272059,585.7314592273048,9.594306606670905,29,29,,1.0,True,GOOD,coverage and completeness requirements passed,29,False,2,-0.8614344234190534,
1984-03-01,-4.655507691320925,3.6972276616482618,-16.404406987404315,1.829808431919907,26.571383625524412,3.7943496376322448,9.412256338054608,12.908877366813869,37.12448221856962,0.0,14,10.916602439302782,3.1547336777398582,755.261527673138,45.075589847304634,31,31,,1.0,True,GOOD,coverage and completeness requirements passed,31,False,3,-1.3324526037830131,-0.26352548186924535
1984-04-01,-2.4963525960905466,4.16798311323454,-13.375334049361745,0.44488009267030715,84.70652672720675,14.434969723972603,24.811663871842544,38.05872817485742,84.70652672720675,0.1099958517784848,26,46.60082330834186,3.008333370081375,761.8729920844476,36.14547224499071,30,30,,1.0,True,GOOD,coverage and completeness requirements passed,30,False,4,0.6713015676436089,-0.49306483921522953
1984-05-01,2.9869586859945896,10.164962248832408,-10.285673463889843,1.729347447660005,129.45840552936514,12.329226447081771,31.055477598242597,56.85481151258014,127.77798451982163,96.60799790735241,25,14.856829902420658,2.9347583514741493,786.146758802252,52.502316820587936,31,31,,1.0,True,GOOD,coverage and completeness requirements passed,31,False,5,-0.08688758733130361,2.045243476854713
1984-06-01,6.882504668397246,11.967329757873,0.622315211232347,1.3296003194282096,319.2025079905994,28.30072941902407,62.645131332671696,99.13900720530071,319.2025079905994,206.47514005191738,0,31.49296176134177,2.9050031680629775,618.8154198522168,147.14028048188146,30,30,,1.0,True,GOOD,coverage and completeness requirements passed,30,False,6,0.5839096931357193,2.0488494540364046
1984-07-01,6.624652418036298,11.835642317061208,1.9513516688498094,-0.5627989927807195,442.36997846388095,38.68165493872262,83.89720315360208,158.4343306528486,436.9024851575031,205.36422495912524,0,56.64438460570125,2.9092672043387626,525.4993090309641,347.81428484703605,31,31,,1.0,True,GOOD,coverage and completeness requirements passed,31,False,7,-0.49021389562335715,-1.2988525455061821
1984-08-01,7.065405012358237,12.081610861233997,1.7958338544873995,0.1076852879672307,368.8427383282481,20.85816839955693,50.12346422746923,96.8893115267926,436.6098316474694,219.02755538310535,0,17.38005739628199,2.901957840141671,577.5796470584096,317.17162855090095,31,31,,1.0,True,GOOD,coverage and completeness requirements passed,31,False,8,-0.6727000500647183,0.27430826700475247
1984-09-01,3.0248473382255514,9.98746993127298,-6.701845032425494,-2.005290240833522,299.4345306699205,70.33831774975309,132.55162223110383,170.72019323967046,435.4692045051431,93.29251361044311,12,104.46380835909981,2.963344432769067,567.8596082042677,279.9708428127425,30,30,,1.0,True,GOOD,coverage and completeness requirements passed,30,False,9,0.9547016335623933,-3.024619984701061
1984-10-01,1.6732418240656257,8.26726929398176,-6.486751284186538,1.663665028662435,29.839026521178713,4.755759719728783,8.484241558728584,19.13587525563113,284.75737300338744,60.15529960562587,27,10.362850102339724,2.902637382246897,606.4889406677685,77.63145197599728,31,31,,1.0,True,GOOD,coverage and completeness requirements passed,31,False,10,-0.8673572946328063,1.3100965361374552
1984-11-01,-4.799907906663732,3.4705158166529904,-12.480793672007268,-0.8039836707773041,24.133428554409967,2.5316458837170916,4.406154660827872,8.778607126011513,30.94820413320948,0.0,13,13.340852927891072,2.908735939149367,518.2451202983815,34.8029928589941,30,30,,1.0,True,GOOD,coverage and completeness requirements passed,30,False,11,-0.3020238736671251,-0.48825265776295623
1984-12-01,-6.213120999882902,2.4502767349447416,-15.331077123611072,0.5255893310394508,41.5285780618755,14.125463651899237,15.946812579840696,17.033753473569597,41.0275007968642,0.0,9,35.777491634681475,2.93459628152655,453.26782560731885,22.904214157574113,31,31,,1.0,True,GOOD,coverage and completeness requirements passed,31,False,12,0.23384589884251222,-0.3105347193529913
1985-01-01,-12.039525999668573,-5.37218722209888,-22.75104622998595,-2.2797150688933563,47.61365024179095,7.3456764693079,23.208764082236392,31.890558681250745,62.04413421753732,0.0,0,43.07481585847795,3.1560826155189208,511.1257483969036,12.230570819346859,31,31,,1.0,True,GOOD,coverage and completeness requirements passed,31,False,1,-0.09601651677099873,-0.20695424178800786
1985-02-01,-8.86913818541089,2.501241332019934,-18.357085734937137,0.42451303146303915,34.62793994017453,11.792995639641715,15.768088265036877,22.669521174526565,56.161285377606625,0.0,2,28.268842141941597,3.330891263880042,569.1653084588319,9.647209239228355,28,28,,1.0,True,GOOD,coverage and completeness requirements passed,28,False,2,-0.9286556412307907,
1985-03-01,-3.695701480592472,3.5878680492940935,-16.324187415255178,2.7896146426483597,41.47962136283091,9.751857474960325,16.02600596898825,22.588599171556524,41.47388829011282,0.0,22,29.054569313794186,3.0675778988771536,756.6859574910715,52.269784525236055,31,31,,1.0,True,GOOD,coverage and completeness requirements passed,31,False,3,-0.8103681472317104,-0.26352548186924535
1985-04-01,-1.6269046079805574,7.468070727247008,-13.637104299117084,1.3143280807802962,63.23338532437377,5.2049351169427815,13.85854732923232,19.658880365423293,64.34222744803634,5.830431349770344,29,30.38550426044425,2.965413056863595,817.9465476242083,24.300691618582132,30,30,,1.0,True,GOOD,coverage and completeness requirements passed,30,False,4,-0.1946461906704841,0.7807669813313433
1985-05-01,1.4493104976562408,7.970223725202826,-7.318805352572715,0.19169925932165643,133.04199820401803,18.99947271688929,33.23167913908807,54.95297899626333,129.95441084331662,52.1929669968326,23,57.68457173391454,2.956399205700643,811.6313633040113,32.68161901049342,31,31,,1.0,True,GOOD,coverage and completeness requirements passed,31,False,5,-0.01596838449956327,0.11107185827250207
1985-06-01,5.342632795034562,10.721994727266939,-0.8570438457491473,-0.21027155393447466,284.21102226788855,36.60683683424864,56.15123191075121,92.50309666634678,284.21102226788855,160.27898385103686,5,62.33909025979684,2.93915113627617,660.4851889753695,125.89576524760336,30,30,,1.0,True,GOOD,coverage and completeness requirements passed,30,False,6,0.09314987485754939,-0.3240182423115735
