feature,PC1,PC2,PC3,PC4,group
temp_anomaly,0.20877752195671734,-0.18093305245051736,-0.1954876422033329,0.940096974577549,climate_sar_change
PDD_adjusted,0.9662031844411068,-0.0007418262018953348,0.17570864285750692,-0.1797461531502153,climate_sar_change
precip_7d_adjusted,-0.0546955845795446,0.7897106521122862,0.47992107313643684,0.2582353304471305,climate_sar_change
antecedent_precipitation_index_adjusted,0.04005273297409059,0.2099219301860622,0.16502857591264594,0.0822191132050918,climate_sar_change
VV_change_adjusted,-0.07731565370565922,-0.37158839882890204,0.5762498481846837,0.09384107499835323,climate_sar_change
VH_change_adjusted,-0.11085943352891621,-0.4018390364909111,0.5841990240747577,0.04071096895950217,climate_sar_change
temp_anomaly,0.1438812528033166,-0.2446337983849123,-0.1734549355494504,0.48948164617695966,multisensor_climate_sar_change
PDD_adjusted,0.9762419009799389,0.0746884690994149,0.11968535615802009,-0.14365122041770775,multisensor_climate_sar_change
precip_7d_adjusted,-0.02350975610979214,0.7165461680507788,0.27750430286136846,0.5844786770961841,multisensor_climate_sar_change
antecedent_precipitation_index_adjusted,0.037426091394721174,0.23689988608027415,0.14799242445536506,0.04492108294171222,multisensor_climate_sar_change
VV_change_adjusted,-0.04909312461907294,-0.2483120515841422,0.6362340511780793,0.022485398385328308,multisensor_climate_sar_change
VH_change_adjusted,-0.0725579286677158,-0.25857192915133004,0.6657641755660569,-0.03602106968647078,multisensor_climate_sar_change
snow_fraction_anomaly,-0.094074514569152,0.3212450846257508,0.0662380409999512,-0.44390293636043415,multisensor_climate_sar_change
snow_fraction_change_adjusted,-0.03165778799546806,0.23398425729170658,0.04845660933614589,-0.22682381284393263,multisensor_climate_sar_change
NDSI_anomaly,-0.08227695414752595,0.2802688276186472,0.04367125648093404,-0.3818859092337083,multisensor_climate_sar_change
