date,feature,observed,historical_count,historical_q05,historical_q25,historical_median,historical_q75,historical_q95
2025-08-01,temp_anomaly,0.6091555724806955,10,-0.03129914746151459,0.14427762296977636,0.40404122872661796,0.6479577774449738,0.8510939632091142
2025-08-01,precip_month,424.10601139527097,10,313.56651318720327,389.23369529361827,443.62698451927344,509.25897278773687,530.757520685948
2025-08-01,precip_3d_max,63.405191076901886,10,51.09907004153232,67.15735169810162,75.67645609423164,82.27553484418452,120.42187273065045
2025-08-01,precip_7d_max,118.51389906605624,10,116.62216926015378,124.76609331793534,150.52798076514102,168.42899810137493,222.1134316455661
2025-08-01,PDD,234.5731342030228,10,214.71903788481427,220.16191776818428,228.21458954664635,235.7760025569154,242.07322431560374
2025-08-01,snow_fraction,0.4976479243905018,6,0.3484084177352237,0.3762033266064312,0.4402826090717764,0.5638928037383714,0.6263772951810699
2025-08-01,NDSI,0.3398142410929007,6,0.23071864175066634,0.25419916005841625,0.3295195318871824,0.42642930219057146,0.48278003182813095
2025-08-01,VV,-10.009342495182812,8,-9.993890980521464,-9.855843737659576,-9.838412460420717,-9.708438472060296,-9.59091768263312
2025-08-01,VH,-19.15389298895919,8,-19.105656840120506,-18.91324908223257,-18.788043098234333,-18.751773078498566,-18.361974388499256
2025-08-01,anomaly_score,0.2327044025157232,8,0.2070754716981132,0.4426100628930817,0.48742138364779874,0.6430817610062893,0.7553459119496855
2025-09-01,temp_anomaly,1.233181734783093,10,0.0900393432810232,0.32225696306159923,0.38612783020906527,0.8670934431520978,1.104541099158225
2025-09-01,precip_month,259.5080140071203,10,171.52942551434427,204.96928117630978,265.8450910456285,307.89666831248195,439.97987505259624
2025-09-01,precip_3d_max,41.66856434010363,10,36.39627315332633,47.966057083586165,55.60615362555987,73.24690731729743,162.01305914988708
2025-09-01,precip_7d_max,107.63978965287606,10,68.48608080807861,81.52410906564657,117.85664999551423,135.62918616438358,198.11613088170407
2025-09-01,PDD,187.899579415265,10,153.60530767020288,160.57183626362018,162.48796227804417,176.91693066633513,184.04036034651898
2025-09-01,snow_fraction,0.386533715832285,7,0.32720148949026734,0.4051384921837142,0.466176206219557,0.513516090970958,0.5948770162041483
2025-09-01,NDSI,0.2922847139071955,7,0.2034479185334025,0.26935857621988796,0.3563371817582479,0.38445473865417135,0.4695437608014187
2025-09-01,VV,-10.270838172362618,8,-10.108593104636233,-9.933350305926782,-9.868688819094988,-9.830688485017644,-9.780559721801216
2025-09-01,VH,-19.41617660239437,8,-18.817810817857545,-18.710455645405254,-18.456694497746888,-18.319678077491584,-17.912140866080467
2025-09-01,anomaly_score,0.5503144654088051,8,0.24386792452830186,0.40959119496855345,0.5408805031446541,0.6910377358490567,0.7190251572327044
2025-10-01,temp_anomaly,0.3611462844963684,10,-1.0565339426506144,-0.15498167915112543,0.7690906649887508,1.4665681738228487,2.3306391930608332
2025-10-01,precip_month,236.4034649922789,10,31.280103835777908,37.46947719287522,60.1247584774175,93.72617215135362,155.07273539895365
2025-10-01,precip_3d_max,112.22824096174584,10,7.206650319247746,10.64890384018041,22.806658755085273,44.993730730647364,98.49843894740759
2025-10-01,precip_7d_max,161.68701060692945,10,16.334552967320143,23.59217922840693,54.729727608507964,97.59298911829781,180.64143559714842
2025-10-01,PDD,29.17858072048712,10,15.537391297561973,27.640618790200275,37.79106557073417,67.6026072380443,85.20346397564609
2025-10-01,snow_fraction,0.5516569784365501,7,0.39606357052499463,0.41215041709149924,0.506560074022086,0.5156222767212737,0.5678068954390573
2025-10-01,NDSI,0.4079972536496246,7,0.255651470085895,0.2743624218960349,0.3598050139923368,0.3802500959255436,0.4338065601602264
2025-10-01,VV,-9.569747256548968,9,-9.537396805202418,-9.385994851025089,-8.93330871320643,-8.850432473175777,-7.6870272948917595
2025-10-01,VH,-17.326240586616926,9,-17.297155544081097,-16.677945579070276,-16.23644811798358,-16.043170151417474,-14.41129185927601
2025-10-01,anomaly_score,0.5377358490566038,8,0.3117924528301887,0.4716981132075472,0.8632075471698113,0.9174528301886793,0.934748427672956
2025-11-01,temp_anomaly,-0.1732944635044568,10,-0.04365863691368488,0.25346974611892253,0.6523163887575665,1.5311901646967083,2.2382250293542794
2025-11-01,precip_month,25.125000388939565,10,10.222409945581472,16.172234766405023,22.619369255374558,23.849672464955685,37.858576400721155
2025-11-01,precip_3d_max,64.90405576989667,10,3.808692996850936,5.779857302269231,6.607801491749065,8.781337103262,12.910927625075098
2025-11-01,precip_7d_max,99.68043798621306,10,5.574995504121117,8.407110442795503,12.343156133824898,15.870816032028117,23.890527703146184
2025-11-01,PDD,0.4436778800296993,10,0.0,0.0,0.21085928680472016,1.3861579459010103,3.7927417205742104
2025-11-01,snow_fraction,0.691709677130366,8,0.36663903199891473,0.41083675450675383,0.4491671533513599,0.4851884232256596,0.5140257247711884
2025-11-01,NDSI,0.5608275279605651,8,0.22324875889684398,0.26767591436023275,0.29474234717000936,0.33902548185734005,0.3721931325402504
2025-11-01,VV,-8.810652340193288,8,-8.223783862089684,-7.752277901378886,-7.6457392072015935,-7.514867403035008,-7.384145694569192
2025-11-01,VH,-15.487442154229653,8,-14.72680773922591,-13.874486688835724,-13.689477727863743,-13.348125388409246,-13.001261737858115
2025-11-01,anomaly_score,0.6132075471698114,8,0.13349056603773587,0.21226415094339623,0.270440251572327,0.4528301886792452,0.6954402515723269
