date,temp_mean,temp_max,temp_min,temp_anomaly,precip_1d_max,precip_3d_max,precip_7d_max,precip_30d_max,precip_month,precip_anomaly,PDD,freeze_thaw_cycles,snowfall_mm_we,snow_depth_m,solar_radiation_mj_m2,runoff_mm,snow_fraction,snow_fraction_anomaly,snow_fraction_change,NDSI,NDSI_anomaly,NDSI_change,snow_area_proxy_km2,VV,VH,VV_change,VH_change,VV_anomaly,VH_anomaly,angle_deg,temp_change,PDD_change,antecedent_precipitation_index,environmental_transition_magnitude,sentinel2_scene_count,sentinel2_valid_area_fraction,sentinel2_observation_count,sentinel1_scene_count,sentinel1_valid_area_fraction,sentinel1_observation_count,climate_missing_data_flag,sentinel2_missing_data_flag,sentinel1_missing_data_flag,available_feature_count,missing_data_flag,climate_expected_observation_count,climate_period_completeness,climate_is_complete_period,climate_quality_status,climate_quality_reason,sentinel1_expected_observation_count,sentinel1_period_completeness,sentinel1_is_complete_period,sentinel1_quality_status,sentinel1_quality_reason,PDD_adjusted,precip_3d_adjusted,precip_7d_adjusted,precip_30d_adjusted,antecedent_precipitation_index_adjusted,VV_change_adjusted,VH_change_adjusted,snow_fraction_change_adjusted,climate_sar_change_robust_raw,climate_sar_change_isolation_raw,climate_sar_change_pca_raw,climate_sar_change_robust_percentile,climate_sar_change_isolation_percentile,climate_sar_change_pca_percentile,climate_sar_change_anomaly_score,climate_sar_change_top_feature,anomaly_score,anomaly_model_name,top_contributing_feature,anomaly_direction,anomaly_interpretation,multisensor_climate_sar_change_robust_raw,multisensor_climate_sar_change_isolation_raw,multisensor_climate_sar_change_pca_raw,multisensor_climate_sar_change_robust_percentile,multisensor_climate_sar_change_isolation_percentile,multisensor_climate_sar_change_pca_percentile,multisensor_climate_sar_change_anomaly_score,multisensor_climate_sar_change_top_feature,environmental_regime,regime_PC1,regime_PC2,anomaly_above_reference_quantile
2015-07-01,7.094333763905133,12.639700953076227,2.718802440409781,-0.0931176469118846,26.837748472608748,63.21480784777123,112.804178482381,393.5194004428766,396.4236159302554,-1.0863439221525266,219.92434668105912,0.0,9.583312798524767,2.9022010524437114,597.3451892040816,303.95414660842715,,,,,,,,,,,,,,,,,396.4236159302554,,,,,0,0.0,,False,True,True,3,True,31,1.0,True,GOOD,coverage and completeness requirements passed,,0.0,False,INSUFFICIENT,missing VV/VH or valid ROI coverage below threshold,-11.528939713728704,-30.988328960129827,-56.745494710674265,-128.69796177605173,-898.2000792147965,,,,,,,,,,,,,climate_sar_change,,,unusual environmental state,,,,,,,,,,,,
2015-08-01,6.843906118670036,11.975236559551782,2.0488340373781067,-0.1138136057209715,43.61365911690849,72.08225532652251,123.6999758574213,470.492463191324,400.6264341530173,-0.1842927207210655,212.1610896787711,0.0,25.433193679891115,2.9033447218516075,508.685027062632,358.6779345484958,,,,,,,,,,,,,,,-0.2504276452350966,-7.7632570022880145,737.5865076937343,,,,,0,0.0,,False,True,True,3,True,31,1.0,True,GOOD,coverage and completeness requirements passed,,0.0,False,INSUFFICIENT,missing VV/VH or valid ROI coverage below threshold,-16.85311531289952,-5.458676834309699,-28.434489371112164,-65.85134842746396,-798.3746583009408,,,,,,,,,,,,,climate_sar_change,,,unusual environmental state,,,,,,,,,,,,
2015-09-01,5.376388326065215,10.27865128755404,-4.441231771491912,0.3462507470061419,15.54503113685798,35.155432678121784,65.75663129491912,385.313595365167,176.87699479454352,-0.7828828291130505,161.2916497819565,3.0,17.597569394555208,2.902710551292401,547.3058254418544,149.56879860640913,,,,,,,,,,,,,,,-1.4675177926048208,-50.86943989681461,803.8255263342177,,,,,0,0.0,,False,True,True,3,True,30,1.0,True,GOOD,coverage and completeness requirements passed,,0.0,False,INSUFFICIENT,missing VV/VH or valid ROI coverage below threshold,-7.5669948368894495,-35.411470287385825,-53.519291095253976,-53.75628924239538,-778.2297911227109,,,,,,,,,,,,,climate_sar_change,,,unusual environmental state,,,,,,,,,,,,
2015-10-01,-0.1471486893121974,7.848672420923201,-11.32297558714014,-0.1567254847153879,14.511343085856469,24.20056733340643,27.96901633688899,174.31076231896876,73.2029675155094,-0.0711636064811076,24.607057115670184,28.0,39.15369466542254,2.916404782603131,592.3205765428505,68.55282966076363,,,,,,,,-7.192089027537892,-14.174654200633103,,,1.757520787938046,2.054533883763068,39.80440596364062,-5.523537015377412,-136.6845926662863,756.4546648995944,,,,,1,0.954102558892544,1.0,False,True,False,5,True,31,1.0,True,GOOD,coverage and completeness requirements passed,,0.954102558892544,True,GOOD,VV/VH and ROI coverage pass requirements,-20.762961079203766,-18.137930197370988,-53.138217124258695,-110.77518395334957,-677.6581596746906,,,,,,,,,,,,,climate_sar_change,,,unusual environmental state,,,,,,,,,,,,
2015-11-01,-3.990453340099508,4.80322712972752,-15.286951943168647,0.0054708957869198,5.288131376785135,8.70938523482313,27.83702045037502,66.9941149580898,21.549204722556315,-0.4511160451059421,0.07187634485306,15.0,8.219895736929777,2.930440329923726,508.323990244898,39.14216755352584,,,,,,,,,,,,,,,-3.843304650787311,-24.535180770817124,664.5356698872115,,,,,0,0.0,,False,True,True,3,True,30,1.0,True,GOOD,coverage and completeness requirements passed,,0.0,False,INSUFFICIENT,missing VV/VH or valid ROI coverage below threshold,-0.885364093560491,-4.055566994201998,6.775082743199096,-14.069210596198545,-576.8870668149373,,,,,,,,,,,,,climate_sar_change,,,unusual environmental state,,,,,,,,,,,,
2015-12-01,-6.615558040177489,3.744379580213877,-16.24451529645817,0.123152290744864,2.270153503386803,3.306689193409915,11.586109730315608,28.30298229210813,21.42540387874136,-0.4830995800579287,0.0,9.0,14.725219991836726,2.9155850461806403,461.762083356791,25.531962786569803,,,,,,,,,,,,,,,-2.625104700077981,-0.07187634485306,586.2807232828711,,,,,0,0.0,,False,True,True,3,True,31,1.0,True,GOOD,coverage and completeness requirements passed,,0.0,False,INSUFFICIENT,missing VV/VH or valid ROI coverage below threshold,-0.6574058810277658,-10.667986044785149,-6.668212368866305,-5.762455967165739,-496.0659442839269,,,,,,,,,,,,,climate_sar_change,,,unusual environmental state,,,,,,,,,,,,
2016-01-01,-10.2268950961726,-1.379730239642642,-20.12775141845529,-0.4670841653973831,12.403037191947355,16.167652927756755,19.95600231964862,46.01173564313509,46.12903601833265,-0.1359151362833639,0.0,0.0,37.85769087980114,2.982091286262272,496.0569221632653,18.290435388044603,,,,,,,,,,,,,,,-3.611337055995111,0.0,544.4676508087731,,,,,0,0.0,,False,True,True,3,True,31,1.0,True,GOOD,coverage and completeness requirements passed,,0.0,False,INSUFFICIENT,missing VV/VH or valid ROI coverage below threshold,-0.185154873908144,-5.737478297684909,-11.177309918230687,-7.330338116571788,-414.69651062364346,,,,,,,,,,,,,climate_sar_change,,,unusual environmental state,,,,,,,,,,,,
2016-02-01,-7.37036939909771,3.261703712415081,-22.69716872900492,1.8962501797776217,10.70062121094828,16.57912213036957,19.364397506395186,56.10404382469057,41.67745733586,-0.7274869303283324,0.0,6.0,34.750652742650125,3.0783530063751496,567.8708971062632,17.91019515933326,,,,,,,,,,,,,,,2.85652569707489,0.0,504.4749605233171,,,,,0,0.0,,False,True,True,3,True,29,1.0,True,GOOD,coverage and completeness requirements passed,,0.0,False,INSUFFICIENT,missing VV/VH or valid ROI coverage below threshold,0.0,-8.240224144174828,-11.982404755270785,-19.782512688098258,-367.15533212480375,,,,,,,,,,,,,climate_sar_change,,,unusual environmental state,,,,,,,,,,,,
2016-03-01,-5.595592091448709,4.349566794280706,-15.89783401435565,0.889724031792123,13.04269998867188,19.05355264311043,28.944877397076567,55.75199973220977,56.55518580742209,-0.2824239321644408,0.0,8.0,37.91352590961535,3.085297958915429,724.3532548952062,28.90832106635908,,,,,,,,,,,,,,,1.7747773076490008,0.0,485.3589022522417,,,,,0,0.0,,False,True,True,3,True,31,1.0,True,GOOD,coverage and completeness requirements passed,,0.0,False,INSUFFICIENT,missing VV/VH or valid ROI coverage below threshold,-0.2917263958953674,-9.967693964791064,-6.848479500149004,-30.734038791424226,-318.9675803089981,,,,,,,,,,,,,climate_sar_change,,,unusual environmental state,,,,,,,,,,,,
2016-04-01,-2.028318638883207,5.067296501014727,-12.409713577603366,0.9129140498776468,7.807751582208334,17.6849250724827,32.014079489758544,81.28239819689897,53.72767845097822,-0.5779830021684869,0.4215799875279811,29.0,28.512730262518183,3.046521257148019,825.9053429099226,33.329168181239844,,,,,,,,,,,,,,,3.567273452565502,0.4215799875279811,466.2827453653836,,,,,0,0.0,,False,True,True,3,True,30,1.0,True,GOOD,coverage and completeness requirements passed,,0.0,False,INSUFFICIENT,missing VV/VH or valid ROI coverage below threshold,-1.9906464381065079,-3.2812103516120246,-0.45099026537684495,-7.652313719537489,-290.78761009707745,,,,,,,,,,,,,climate_sar_change,,,unusual environmental state,,,,,,,,,,,,
2016-05-01,1.2647896936646097,8.169475994069863,-8.721748404667272,0.0071784553300251,13.188531122249618,21.57338217551241,40.26827119577109,130.6591561940085,132.0567210826198,-0.0354669922827938,46.399507453502025,30.0,59.63135349389263,2.9609913718283387,776.0964032885292,47.05398366180295,,,,,,,,,,,,,,,3.2931083325478165,45.97792746597404,528.3970546431958,,,,,0,0.0,,False,True,True,3,True,31,1.0,True,GOOD,coverage and completeness requirements passed,,0.0,False,INSUFFICIENT,missing VV/VH or valid ROI coverage below threshold,-3.8958167174318845,-16.39805644033733,-21.280366648978735,-24.523923472667008,-268.55756651464253,,,,,,,,,,,,,climate_sar_change,,,unusual environmental state,,,,,,,,,,,,
2016-06-01,6.029296031241725,12.948747323215407,-3.4635673635698656,0.4763916822726886,27.86625494930125,62.82375165131117,130.25475677690144,320.4324127994386,320.4324127994386,0.6011592567943909,180.8788809372517,3.0,13.472083073180173,2.908800784170753,615.8310279042928,156.2530874975293,,,,,,,,,,,,,,,4.764506337577116,134.4793734837497,769.569909246155,,,,,0,0.0,,False,True,True,3,True,30,1.0,True,GOOD,coverage and completeness requirements passed,,0.0,False,INSUFFICIENT,missing VV/VH or valid ROI coverage below threshold,13.399988191306164,-20.642912683352776,-9.920852663835348,-10.57309797832903,-235.43361203572704,,,,,,,,,,,,,climate_sar_change,,,unusual environmental state,,,,,,,,,,,,
2016-07-01,7.198550440622812,11.994832581554332,3.8548877949617575,0.0110990298057942,42.87668359501944,96.67829658713173,207.97080106724613,658.045667717561,688.2322485782145,2.699720487071601,223.1550636593072,0.0,72.33296967859339,2.909547727834138,450.5528847663617,564.5709644890352,,,,,,,,,,,,,,,1.1692544093810868,42.27618272205547,1342.3666714374465,,,,,0,0.0,,False,True,True,3,True,31,1.0,True,GOOD,coverage and completeness requirements passed,,0.0,False,INSUFFICIENT,missing VV/VH or valid ROI coverage below threshold,-8.298222735480635,2.4751597792306654,38.42112787419086,135.82830549863263,47.74297629239459,,,,,,,,,,,,,climate_sar_change,,,unusual environmental state,,,,,,,,,,,,
2016-08-01,7.0272715814688285,11.17951770543551,1.1296405252648838,0.0695518570778216,14.508387061089229,67.66506428725454,184.1464751219552,645.9406615324533,279.6399209967691,-2.0434440322307297,217.8454190255337,0.0,8.95006080563747,2.9038181928865123,563.856727304715,290.1803989023662,,,,,,,,,,,,,,,-0.1712788591539835,-5.309644633773502,1420.6515917185984,,,,,0,0.0,,False,True,True,3,True,31,1.0,True,GOOD,coverage and completeness requirements passed,,0.0,False,INSUFFICIENT,missing VV/VH or valid ROI coverage below threshold,-11.168785966136937,-9.875867873577675,32.01200989342175,109.59684991366532,-115.30957427607677,,,,,,,,,,,,,climate_sar_change,,,unusual environmental state,,,,,,,,,,,,
