term,coefficient,hac_se,p_value
const,0.014521157766765021,0.018965170714403557,0.4438696846562191
temp_anomaly,-0.053394971053501016,0.011459226814853523,3.1688384994423236e-06
PDD_adjusted,-0.0007172115789833777,0.0008054245651721916,0.3732101272298465
precip_anomaly,0.024479929720275156,0.009984125169918088,0.014210995335728893
