date,precip_mm,runoff_mm,snow_depth_m,snowfall_mm_we,solar_radiation_mj_m2,system:time_start,temp_max_c,temp_mean_c,temp_min_c,observation_count,missing_data_flag,precip_3d_mm,precip_7d_mm,precip_30d_mm,positive_degree_days,freeze_thaw_cycle,month_day,temp_anomaly_c
1984-01-01,0.10583775166908775,0.5713255733859782,3.021427405990684,0.0762906709370019,15.766308453201969,441763200000,-5.511485555757504,-10.934040071190765,-16.197719403776272,1,False,,,,0.0,0,01-01,-1.5647635168278367
1984-01-02,3.9766433403051824,0.5436784612050282,3.0372458629532098,3.6139474640338887,10.05511787614356,441849600000,-7.423495356689259,-12.340840143735697,-18.50932169624987,1,False,,,,0.0,0,01-02,-2.54610364200051
1984-01-03,0.07375125251924342,0.5014076105395646,3.048585759734929,0.015702174634349586,16.80728823223082,441936000000,-7.209718143428213,-11.964025658775917,-19.321549690348572,1,False,4.156232344493514,,,0.0,0,01-03,-2.2710356849922775
1984-01-04,0.09846528961026181,0.5443968785891309,3.0422157969464725,0.09183858945326095,16.106719154116817,442022400000,-5.358128239888672,-9.960313715387771,-16.41694490136098,1,False,4.148859882434687,,,0.0,0,01-04,-0.5206140583256129
1984-01-05,0.12238355671998737,0.5092143980991999,3.038357796647754,0.09742827743900064,16.209343352568617,442108800000,-6.8154318071938285,-10.909296752353388,-15.447718743385328,1,False,0.29460009884949256,,,0.0,0,01-05,-1.2718752265348012
1984-01-06,0.0799396164792105,0.49214467228004244,3.036442168967533,0.07793357639057716,17.008683663617173,442195200000,-8.047452019537756,-12.94816732467016,-16.865111890198204,1,False,0.3007884628094597,,,0.0,0,01-06,-3.068243721053644
1984-01-07,0.015416980979230072,0.4812366867216434,3.0339526275556024,0.003770086848760976,17.4666651513019,442281600000,-6.92710734615015,-12.806608626284879,-19.41476593339718,1,False,0.21774015417842796,4.472437788282203,,0.0,0,01-07,-2.859802147799982
1984-01-08,0.05845347375365854,0.5251114203592658,3.0306519614176493,0.056543922933955,16.65905436312456,442368000000,-5.911234194858215,-12.581305778605403,-19.69076464959719,1,False,0.1538100712120991,4.425053510366774,,0.0,0,01-08,-2.7512956971360367
1984-01-09,0.013094646445832893,0.5528756235788442,3.026475613312405,0.01169121932345826,17.740794356087264,442454400000,-4.6130352989373735,-11.304333398287863,-19.20553447554262,1,False,0.0869651011787215,0.4615048165074246,,0.0,0,01-09,-1.299755495554903
1984-01-10,0.10480289091730426,0.555098297980199,3.0222772020648234,0.10089527089397812,15.388843256861364,442540800000,-5.12966832933417,-11.403367170995576,-18.11928209255144,1,False,0.1763510111167957,0.49255645490548544,,0.0,0,01-10,-1.4697087079117814
1984-01-11,0.0008916964990958387,0.5910423788111618,3.0171193805849397,3.688325771221722e-05,17.743056861365236,442627200000,-4.698512066190778,-11.110460492375001,-17.644685012634813,1,False,0.118789233862233,0.39498286179431946,,0.0,0,01-11,-1.465192179608863
1984-01-12,0.001876751339691103,0.7762050991491227,3.00881530632862,0.001406401951576437,17.600326975369455,442713600000,-0.7331102536313329,-7.417366362322704,-14.308305603714558,1,False,0.1075713387560912,0.2744760564140232,,0.0,0,01-12,2.1857461094884227
1984-01-13,0.1123164663977502,0.7288365937470551,3.0005163290733856,0.10951185555713099,17.816801635467982,442800000000,-2.0192921390841936,-7.811874316092681,-14.656184190700431,1,False,0.11508491423653713,0.3068529063325629,,0.0,0,01-13,2.063590531784718
1984-01-14,0.38655116295628805,0.5343714381589761,2.997583090853529,0.35577468222753006,17.099138088669953,442886400000,-5.9049079664150925,-11.936312377539513,-18.666785344466767,1,False,0.5007443806937293,0.6779870883096208,,0.0,0,01-14,-1.7840449194054138
1984-01-15,2.0945874193232292,0.49938620143503804,2.9997193642745357,2.0223353897011003,16.53644526108375,442972800000,-6.738799279982714,-10.649434468222122,-14.940930665436953,1,False,2.593455048677267,2.7141210338791915,,0.0,0,01-15,-1.1354396955423365
1984-01-16,22.274863610284225,0.5083306680088058,3.073918327601785,21.42560102417803,13.233481798733287,443059200000,-8.253185311410709,-10.824287332941475,-13.266367460891088,1,False,24.75600219256374,24.975889997717584,,0.0,0,01-16,-1.0481754967311048
1984-01-17,5.189746143135057,0.3824248060552609,3.262139223954669,5.0246298161088205,16.89498266150599,443145600000,-10.914280911149628,-12.766330743423211,-14.64914766616336,1,False,29.55919717274251,30.060833249935335,,0.0,0,01-17,-2.9463577456612917
1984-01-18,1.0655976753151377,0.3855226693817799,3.234769287395724,1.045750931198961,17.940686539057,443232000000,-7.876678556996591,-12.048092052451638,-15.824183968336602,1,False,28.53020742873442,31.12553922875138,,0.0,0,01-18,-2.2831229759298868
1984-01-19,2.0042916361653367,0.3790652863078349,3.2188783699767636,1.887812586547119,16.772007764954253,443318400000,-9.921090964546153,-12.909146532653315,-16.025151385227428,1,False,8.25963545461553,33.127954113577026,,0.0,0,01-19,-2.9308678376022588
1984-01-20,1.0453615752103336,0.3758461531159913,3.2106269408692905,0.819069404813037,16.262364502463054,443404800000,-8.295717682593455,-11.40028708527519,-15.083809069660978,1,False,4.1152508866908075,34.060999222389604,,0.0,0,01-20,-1.3868827926991862
1984-01-21,0.5376996192936965,0.371077603265318,3.198753648651001,0.48309551613545604,16.208101470795217,443491200000,-6.7361891357937065,-10.003869462555725,-13.363366514524023,1,False,3.5873528306693667,34.212147678727014,,0.0,0,01-21,-0.19696078486848378
1984-01-22,1.6266078123060457,0.3634406795055408,3.204370644068511,1.5984301656526552,15.432288789584799,443577600000,-9.38308890206471,-12.791274894483463,-15.963422539299573,1,False,3.209669006810076,33.74416807170984,,0.0,0,01-22,-3.3161914625549507
1984-01-23,0.7465459760074998,0.35335941477446053,3.2112354884370236,0.6834001062119368,17.20597454327938,443664000000,-10.937888947714367,-14.28992360978792,-17.00057847454544,1,False,2.910853407607242,12.215850437433106,,0.0,0,01-23,-4.212598230476498
